feature,importance
EmploymentStatus,0.32447203509281064
TenureYears,0.08150738459354871
exit_feedback_sentiment,0.034372160805256485
RecruitmentSource,0.033844836654314245
MaritalDesc,0.012767985487523682
Salary,0.010011114400091522
SpecialProjectsCount,0.009876087417081934
PositionID,0.007351222959552095
Sex,0.006190530846115415
Position,0.005697311316848657
Absences,0.004254931526210283
EngagementSurvey,0.004093168447878133
EmpSatisfaction,0.003751921075396403
RaceDesc,0.002913417219092581
DaysLateLast30,0.0025972047740478173
Department,0.0021013294644765643
HispanicLatino,0.0015748538096042183
State,0.0012265868440766111
CitizenDesc,0.0010371555628169015
PerformanceScore,0.0009979311551933595
